"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Orders","Creating an order with different scooter color options","0","0","4","0","0"
"","Courier Login","Login with empty login","0","0","1","0","0"
"","Courier","All fields required for courier creation","0","0","1","0","0"
"","Courier","Correct response for missing fields","0","0","1","0","0"
"","Courier","Cannot create duplicate courier","0","0","1","0","0"
"","Courier Login","Login with only password","0","0","1","0","0"
"","Courier Login","Login requires all fields","0","0","1","0","0"
"","Courier","Conflict message for duplicate login","0","0","1","0","0"
"","Courier Login","Login with empty password","0","0","1","0","0"
"","Courier","Create courier successfully","0","0","1","0","0"
"","Courier Login","Courier can login successfully","0","0","1","0","0"
"","Courier Login","Login with non-existent user","0","0","1","0","0"
"","Orders","Retrieving active and completed courier orders","0","0","1","0","0"
